Model,Accuracy,F1,AUC,Fold,Scenario
XGB,0.5555555555555556,0.5384615384615384,0.6428571428571429,13,B_Fidelity
XGB,0.7407407407407407,0.6956521739130435,0.7912087912087913,13,C_Scale
XGB,0.7037037037037037,0.6666666666666666,0.7939560439560439,13,D_Augment_0.5
XGB,0.7777777777777778,0.7692307692307693,0.8626373626373626,13,D_Augment_1.0
XGB,0.7037037037037037,0.6363636363636364,0.7527472527472526,13,D_Augment_2.0
XGB,0.6296296296296297,0.5,0.7692307692307692,13,D_Augment_4.0
KNN,0.7037037037037037,0.6666666666666666,0.8131868131868133,13,A_Baseline
KNN,0.48148148148148145,0.46153846153846156,0.5274725274725275,13,B_Fidelity
KNN,0.6666666666666666,0.5714285714285714,0.7142857142857144,13,C_Scale
KNN,0.7777777777777778,0.75,0.7609890109890111,13,D_Augment_0.5
KNN,0.7037037037037037,0.6666666666666666,0.760989010989011,13,D_Augment_1.0
KNN,0.6666666666666666,0.6086956521739131,0.7802197802197802,13,D_Augment_2.0
KNN,0.6666666666666666,0.64,0.7582417582417583,13,D_Augment_4.0
LR,0.7407407407407407,0.7407407407407407,0.8076923076923077,13,A_Baseline
LR,0.7407407407407407,0.6956521739130435,0.6868131868131869,13,B_Fidelity
LR,0.7037037037037037,0.6363636363636364,0.7472527472527473,13,C_Scale
LR,0.8148148148148148,0.8148148148148148,0.8186813186813187,13,D_Augment_0.5
LR,0.8148148148148148,0.8148148148148148,0.7582417582417582,13,D_Augment_1.0
LR,0.7407407407407407,0.72,0.8186813186813187,13,D_Augment_2.0
LR,0.7037037037037037,0.6666666666666666,0.7747252747252747,13,D_Augment_4.0
RF,0.7777777777777778,0.75,0.8944444444444444,14,A_Baseline
RF,0.5925925925925926,0.6451612903225806,0.6888888888888889,14,B_Fidelity
RF,0.7037037037037037,0.6923076923076923,0.7944444444444445,14,C_Scale
RF,0.8888888888888888,0.88,0.9305555555555555,14,D_Augment_0.5
RF,0.7037037037037037,0.6666666666666666,0.8444444444444444,14,D_Augment_1.0
RF,0.7777777777777778,0.7857142857142857,0.8833333333333333,14,D_Augment_2.0
RF,0.7407407407407407,0.6956521739130435,0.8055555555555556,14,D_Augment_4.0
XGB,0.7037037037037037,0.6666666666666666,0.8055555555555556,14,A_Baseline
XGB,0.4074074074074074,0.5294117647058824,0.6166666666666667,14,B_Fidelity
XGB,0.6296296296296297,0.6666666666666666,0.7666666666666666,14,C_Scale
XGB,0.7407407407407407,0.72,0.8111111111111111,14,D_Augment_0.5
XGB,0.8148148148148148,0.8148148148148148,0.8638888888888889,14,D_Augment_1.0
XGB,0.7407407407407407,0.6956521739130435,0.7805555555555556,14,D_Augment_2.0
XGB,0.6666666666666666,0.6896551724137931,0.8138888888888889,14,D_Augment_4.0
KNN,0.8518518518518519,0.8181818181818182,0.888888888888889,14,A_Baseline
