Fold,Scenario,Model,model__n_estimators,model__min_samples_split,model__max_depth,model__learning_rate,model__weights,model__n_neighbors,model__solver,model__C
16,D_Augment_1.0,LR,,,,,,,liblinear,0.1
16,D_Augment_2.0,LR,,,,,,,liblinear,1.0
16,D_Augment_4.0,LR,,,,,,,liblinear,1.0
17,A_Baseline,RF,200.0,5.0,,,,,,
17,B_Fidelity,RF,100.0,2.0,,,,,,
17,C_Scale,RF,200.0,5.0,,,,,,
17,D_Augment_0.5,RF,100.0,2.0,,,,,,
17,D_Augment_1.0,RF,50.0,5.0,,,,,,
17,D_Augment_2.0,RF,100.0,2.0,,,,,,
17,D_Augment_4.0,RF,50.0,5.0,,,,,,
17,A_Baseline,XGB,50.0,,5.0,0.1,,,,
17,B_Fidelity,XGB,100.0,,7.0,0.01,,,,
17,C_Scale,XGB,50.0,,5.0,0.1,,,,
17,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
